Expression,Definition + Context,Example Sentence
physical exertion,"Strenuous physical activity or effort that increases heart rate, breathing, and energy demand. Pronounced: EK-sur-shun (3 syllables, stress on EK). OET context: relevant when assessing exercise-induced symptoms — asthma, angina, breathlessness. Key question: 'Does the symptom come on with physical exertion or also at rest?' Exertional symptoms that resolve with rest may indicate cardiac or respiratory disease.",The patient reported that the chest tightness only came on during physical exertion and resolved within a few minutes of resting — the pharmacist advised an urgent GP review.
tight across the chest / chest tightness,"Patient expression for a sensation of pressure, squeezing, or constriction in the chest — clinically: chest tightness or chest pressure. Can indicate: angina (exertional, relieved by rest/GTN), asthma (associated with wheeze and cough), anxiety, or musculoskeletal cause. OET RED FLAG: always take chest tightness seriously — explore character, timing, radiation, associated symptoms, and triggers immediately.","The patient said she had felt a bit tight across the chest during her morning walk — the pharmacist asked whether this had happened before, how long it lasted, and whether it spread to her arm or jaw."
this is the first time I've really been ill,A patient statement indicating no significant prior medical history — implies the current complaint is unusually severe or distressing for them. OET communication tip: acknowledge this statement empathetically — 'I can understand this must feel quite frightening if you're not used to being unwell.' It also signals the patient may have limited health literacy or may be particularly anxious about their symptoms.,The patient said this was the first time she had really been ill — the pharmacist acknowledged how unsettling that must be and took extra care to explain everything clearly and reassuringly.
passes very smelly wind / flatulence / malodorous flatus,"Patient expression for excessive or foul-smelling flatulence — clinically: malodorous flatus or excessive flatulence. Caused by: bacterial fermentation of undigested food (IBS, lactose intolerance, coeliac disease, small bowel bacterial overgrowth). OET: rephrase gently — 'So you're passing a lot of wind, and it has a particularly strong smell?' Always ask about associated bowel changes, bloating, and diet.","The patient mentioned she had been passing very smelly wind for the past few weeks — the pharmacist asked about her diet, any changes in bowel habits, and whether she had noticed any bloating or abdominal discomfort."
Imodium (loperamide),"Imodium = brand name for loperamide — an antidiarrhoeal agent that slows bowel motility by acting on opioid receptors in the gut wall. Pronounced: ih-MOH-dee-um (4 syllables, stress on MOH). OET counselling points: used for short-term diarrhoea relief; do NOT use if diarrhoea is bloody or if infection is suspected (may worsen); not recommended for children under 12 without medical advice; maximum dose — 4 capsules (8mg) per day.","The patient asked if Imodium would help with her diarrhoea — the pharmacist asked how long the symptoms had been present and whether there was any blood, before advising on its appropriate use."
barium enema,"A radiological procedure where barium contrast is introduced into the rectum to coat the lining of the colon — X-rays are then taken to visualise the large bowel. Used to detect: colorectal cancer, polyps, diverticular disease, Crohn's disease. Pronounced: BAIR-ee-um EN-uh-muh (5 syllables). Largely replaced by colonoscopy and CT colonography in modern practice, but still encountered in clinical records and OET listening passages.",The patient's GP had arranged a barium enema to investigate the change in bowel habits and rectal bleeding — the pharmacist explained what the procedure involved and what to expect afterwards.
it can't be all in the head / psychosomatic,'All in the head' = a dismissive lay expression implying symptoms are imaginary or psychological. Clinically: psychosomatic symptoms are REAL physical symptoms with a psychological or emotional component — they are not 'made up'. OET communication key: NEVER invalidate a patient's symptoms. Respond: 'Your symptoms are absolutely real — I can see how much they're affecting you. Let's look at what might be causing them.' Validates patient experience and builds therapeutic relationship.,The patient became upset and said she knew her pain was real and couldn't be all in her head — the pharmacist reassured her that her symptoms were being taken seriously and that further investigation would be arranged.
bring back a few reassuring things / patient reassurance,"A clinical communication strategy — ending a consultation by reinforcing positive, reassuring information to reduce patient anxiety. 'Bringing back reassuring things' = summarising what is NOT wrong, what IS being done, and what the patient can expect. OET structure: (1) acknowledge concern, (2) share reassuring findings, (3) outline the plan, (4) safety net. Essential in IBS, functional disorder, and anxiety-related consultations.",The pharmacist tried to bring back a few reassuring things at the end of the consultation — explaining that the tests had ruled out anything serious and that the symptoms were manageable with the right treatment plan.
cramping feeling / abdominal cramps,"A cramping feeling = intermittent, spasmodic abdominal pain — caused by muscle contractions in the bowel wall. Clinically: colicky abdominal pain or intestinal cramps. Common in: IBS, gastroenteritis, lactose intolerance, coeliac disease. Distinguish from constant pain (structural/inflammatory) vs cramping/colicky pain (functional/spasmodic). OET: 'Does the pain come in waves, or is it there all the time?'",The patient described a cramping feeling in her lower abdomen that came and went throughout the day — the pharmacist asked whether it was related to eating or bowel movements.
often feels bloated / bloating,"Bloating = a sensation of fullness, tightness, or swelling in the abdomen — often accompanied by visible distension. Patient expressions: 'I feel bloated', 'my stomach feels full and tight', 'I feel gassy'. Common causes: IBS, lactose intolerance, coeliac disease, SIBO, constipation. OET: always explore timing — 'Is it worse after eating? Does it improve after passing wind or opening your bowels?'","The patient said she often felt bloated, especially after meals — the pharmacist asked whether any particular foods seemed to trigger it and whether it improved after using the toilet."
the urge to go to the toilet / faecal urgency,"Faecal urgency = a sudden, strong, difficult-to-defer urge to open the bowels. Patient expressions: 'I need to rush to the toilet', 'I can't hold on', 'the urge comes on suddenly'. A key symptom of IBS-D (diarrhoea-predominant), inflammatory bowel disease, and bowel urgency disorders. OET: 'Do you ever feel like you need to rush to the toilet urgently, and it's difficult to hold on?'",The patient described a sudden urge to go to the toilet that came on without warning — the pharmacist asked how often this happened and whether she had ever not made it to the toilet in time.
sepsis,"A life-threatening medical emergency — the body's overwhelming and dysregulated response to infection, leading to organ damage and failure. Pronounced: SEP-sis (2 syllables, stress on SEP). Signs: fever or hypothermia, rapid heart rate, rapid breathing, confusion, low blood pressure. OET: pharmacists must recognise sepsis red flags and refer immediately. The Sepsis Six protocol is used in hospitals. Do NOT confuse with septicaemia (bacteraemia in blood causing systemic illness — see below).","The patient's deteriorating condition — high fever, confusion, and rapid breathing — prompted the pharmacist to call emergency services immediately, as she suspected sepsis."
septicaemia,"Septicaemia = bacteria actively multiplying in the bloodstream — also called blood poisoning. Pronounced: sep-tih-SEE-mee-uh (5 syllables, stress on SEE). Older term — now largely replaced by 'sepsis' in modern clinical usage, but still encountered in patient records and OET listening. Septicaemia can cause or lead to sepsis. Symptoms: high fever, chills, rapid heart rate, feeling very unwell. A medical emergency.",The patient had developed septicaemia following a dental procedure — she was admitted to hospital immediately for intravenous antibiotics and close monitoring.
bacteraemia,"Bacteraemia = the presence of bacteria in the bloodstream — not necessarily causing symptoms (transient bacteraemia can occur after dental procedures or bowel investigations). Pronounced: bak-tuh-REE-mee-uh (5 syllables, stress on REE). Distinguish from septicaemia (bacteria multiplying and causing illness) and sepsis (systemic inflammatory response). OET: bacteraemia → septicaemia → sepsis is the clinical progression if untreated.",Transient bacteraemia can occur after invasive dental procedures — this is why patients with prosthetic heart valves or certain cardiac conditions are given prophylactic antibiotics beforehand.
LUMPECTOMY,"⚠️ Stress on 2nd syllable ""PEK"". Same ""-ectomy"" suffix family as hysterectomy and gastrectomy (covered in earlier sets) — surgical removal. A lumpectomy is breast-conserving surgery that removes only the tumour and surrounding tissue, as opposed to a mastectomy (full breast removal). Used in early-stage breast cancer treatment, often combined with radiotherapy.",She underwent alumpectomyfollowed by a course of radiotherapy to reduce the risk of local recurrence.
BONE DENSITY SCAN (DEXA),"⚠️ Also called a DEXA scan (dual-energy X-ray absorptiometry) — the formal clinical name patients rarely use, but worth recognising. Measures bone mineral density to diagnose osteoporosis, typically expressed as a T-score. A T-score of -2.5 or below confirms osteoporosis. This is the standard confirmatory test referenced whenever discussing osteoporosis diagnosis or bisphosphonate treatment (like alendronate).",The diagnosis of osteoporosis was confirmed by abone density scanshowing a T-score of minus 2.8.
PRACTISE (verb) vs PRACTICE (noun),"⚠️ This is a SPELLING distinction unique to British English (American English uses ""practice"" for both).practise= verb (an action): ""to practise medicine"", ""she practises injections.""practice= noun (a thing): ""his pharmacy practice"", ""good practice"". Same rule applies tolicence(noun) vslicense(verb), andadvice(noun) vsadvise(verb). Mnemonic: ""ice"" is a noun (like ""ice cream"") → -ice = noun; ""s"" sounds like a verb action. Critical for OET Writing — examiners notice this error.",Pharmacists mustpractisewithin their professional scope at all times.
ST. JOHN'S WORT,"⚠️ ""Wort"" = WURT /wɜːt/ — an old English word meaning ""plant"". British RP: ""wor-"" = /wɜː/ (non-rhotic, same as ""word"", ""work"", ""worse""). ""St."" in fast speech = ""sint"" or even ""snt"" — the vowel almost disappears. ""John's"" = JONZ. Herbal name: Hypericum perforatum. St. John's Wort = herbal antidepressant available OTC. Critical interactions: (1) enzyme inducer (like rifampicin) → reduces effectiveness of warfarin, contraceptives, digoxin, ciclosporin; (2) serotonin activity → risk of serotonin syndrome with SSRIs. Patients must be asked about it explicitly because they often don't consider it a ""medicine"".","St. John's Wortis widely available in health food shops, but it can cause serious interactions with prescription medications — including antidepressants, warfarin, and the contraceptive pill."
"""I can see you're struggling with your mood""","OET EMPATHY OPENER — signals emotional acknowledgement before clinical questions. This phrase: (1) validates the patient's emotional state; (2) opens the door to mental health discussion without labelling or diagnosing; (3) uses ""struggling"" (not ""suffering"" or ""depressed"") — softer, less clinical. Key OET speaking skill: reflecting the patient's language back to them. ""Struggling with your mood"" is more neutral than ""you seem depressed"" — it doesn't assume a diagnosis. Follow with: ""Would you be comfortable telling me a little more about how things have been?""","""I can see you're struggling with your moodat the moment — I want you to know that what you're going through is valid, and there are things we can do to help."""
MAGNETISM (FROM THE MACHINE),"⚠️ Stress on 1st syllable ""MAG"". 4 syllables: MAG-ni-tiz-um. ""-tism"" ending reduces to ""-tiz-um"" (the ""i"" in ""-tiz"" is short /ɪ/). In OET pharmacy/clinical context: ""magnetism from the machine"" = the strong magnetic field generated by an MRI (magnetic resonance imaging) scanner. Key clinical point: patients with ferromagnetic metal implants (certain pacemakers, aneurysm clips, cochlear implants) cannot enter the MRI room due to the powerful magnetic field. Pharmacists may counsel patients on MRI-safe medication patches vs non-MRI-safe ones (e.g. some transdermal patches contain metal foil).","""Can I have an MRI? I've heard that themagnetism from the machinecan be dangerous if you have metal in your body."""
"""I've gone through your notes""","OET OPENING PHRASE — used by clinicians at the start of a consultation to signal they have reviewed the patient's records. ""Gone through"" = phrasal verb meaning ""reviewed/read carefully"". Establishes: (1) the clinician is prepared; (2) the patient doesn't need to repeat everything from scratch. OET speaking tip: always open consultations with something like this — it immediately sets a professional, caring tone. Follow with: ""...and I can see you've been having [symptom] for some time.""","""I've gone through your notes, and I can see you've been experiencing stomach pain for quite a while now — can you tell me more about how it's been lately?""""I've gone through your notesfrom your last visit — it looks like the dosage was adjusted in March, is that right?"""
"""I've been trying bits and pieces""","""Bits and pieces"" = various things / a few different things (informal). Signals: the patient has self-managed with multiple remedies but without a systematic approach or strong results. OET clinical significance: follow-up question should be ""What have you tried?"" to establish prior medication use (important for drug interactions and OET answer boxes). Compare: ""bits and pieces"" (vague, informal) vs ""various measures"" (clinical equivalent).","""I've been trying bits and pieces— antacids from the chemist, cutting out coffee, trying not to eat too late — but nothing really works long-term.""""I've beentrying bits and piecesfor the joint pain — heat packs, paracetamol, resting it — none of it has made a lasting difference."""
"""It's a tube passed through your throat with a camera at the end""","OET PATIENT EXPLANATION PHRASE — the plain-English explanation of an endoscopy. In OET speaking: when you recommend a procedure, you MUST explain it in simple terms. This is the model patient-friendly explanation for an upper GI endoscopy (gastroscopy). Note: ""tube"" in British RP = TYOOB (with /j/ glide) not ""TOOB"" (American). ""Camera"" in fast speech = KAM-ruh (2 syllables) — the middle syllable disappears. ""Throat"" = THROHT — long /əʊ/ diphthong.","""What we'd like to do is a procedure called an endoscopy —it's a tube passed through your throat with a camera at the end, which lets us look directly at the lining of your stomach.""""Don't worry,it's just a tube passed through your throat with a camera at the end— you'll be sedated, so you won't feel much at all."""
"""We'll reassess""","OET CLOSING PHRASE — used to end a clinical encounter by signalling that the decision is not final and the patient will be reviewed. ""Reassess"" = ree-uh-SES (stress on final syllable ""SES""). The ""re-"" prefix = REE (long /iː/). Clinical use: always follow ""we'll reassess"" with a specific time or trigger: ""we'll reassess in two weeks"", ""we'll reassess once the results are back"", ""we'll reassess if symptoms don't improve."" In OET: this phrase signals the consultation is ending — the clinician is closing the loop professionally.","""Start the medication as prescribed, and come back in two weeks —we'll reassessat that point and decide whether to adjust the dose."""
"""I understand where you're coming from, and that's actually a very common concern.""","Meaning: acknowledge you understand the patient's viewpoint before responding. ""Where you're coming from"" = your perspective/situation. Stress falls on ""STAND"", ""COM-ing"", ""COM-mon"", ""CERN"". This is a key OET empathy phrase — validates the patient before correcting or redirecting. Use it when a patient insists on something clinically unwise.","""I understand where you're coming from, and that's actually a very common concern about taking warfarin long-term."""
"""Let me explain that in a little more detail.""","Meaning: signals you are about to give a fuller explanation. ""Explain"" = ik-PLAIN (stress on 2nd syllable). ""Detail"" = dee-TAIL or DEE-tayl — British RP prefers ""dee-TAIL"" (stress on 2nd). Note: ""let me"" in natural speech often reduces to ""lemme"" — ""LEM-ee ex-PLAIN"" sounds natural; ""LET ME"" stressed is slightly formal but fine in OET.","""Let me explain that in a little more detail — warfarin works by blocking vitamin K, which your body needs to form clots."""
"""That's completely understandable. However, let me reassure you...""","Three key words: (1) ""completely"" = com-PLETE-lee (stress on 2nd). (2) ""understandable"" = un-dur-STAND-uh-bul (stress on 3rd ""STAND""). (3) ""reassure"" = ree-uh-SHOOR (stress on 3rd). 
                ""However"" = how-EV-ur — note it signals contrast/pivot. ""Reassure"" = telling someone not to worry. The structure ""Validate → pivot → reassure"" is classic OET patient communication.","""That's completely understandable. However, let me reassure you — with regular INR monitoring, warfarin is very safe to take long-term."""
"""Please do not take a double dose if you miss one.""","Key stressed words: ""NOT"" (the most important word — the prohibition), ""DUB-ul"" (double = two syllables, stress on 1st), ""DOHS"" (dose = rhymes with ""close"" the adjective, NOT ""doze""). Note: ""dose"" /dəʊs/ rhymes with ""close"" (nearby) and ""gross"" — NOT with ""lose"" or ""doze"".","""If you forget to take your warfarin one day, please do not take a double dose the next morning."""
TOXICITY,"⚠️ Stress on the 2nd syllable ""SIS"". The first syllable ""tox-"" = ""tok"" (short ""o"" as in ""hot""). The final syllable ""-tee"" is unstressed. ""Toxicity"" refers to the degree to which a substance can harm an organism — a critical concept in warfarin and methotrexate counselling.",Ibuprofen can increase the risk of warfarintoxicityby displacing it from plasma proteins.
METHOTREXATE,"⚠️ Stress on the 3rd syllable ""TREK"". The ""meth-oh"" prefix is quick and light. The ending varies slightly: ""-site"" /sɪt/ or ""-sayt"" /seɪt/ — both are acceptable in British clinical use. ""Methotrexate"" is a DMARD (disease-modifying antirheumatic drug) and also used in cancer treatment and ectopic pregnancy management. Significant interaction with warfarin and NSAIDs.","Methotrexatemust be taken once weekly, not daily — daily dosing can lead to serious toxicity."
AMOXICILLIN,"⚠️ Stress falls on the 4th syllable (""SIL""), NOT the 2nd. This is one of the most commonly mis-stressed pharmacy words. Keep syllables 1, 2, 3, and 5 light and quick.",The doctor prescribedamoxicillinfor the patient's chest infection.
PENICILLIN,"⚠️ Stress falls on the 3rd syllable (""SIL"") — same stressed syllable shape as ""amoxicillin"" above. Notice the ""c"" is pronounced as ""s"", not ""k"".",Always check for apenicillinallergy before prescribing this class of antibiotics.
REVEAL,"⚠️ Stress is on the SECOND syllable, not the first. The first syllable ""re-"" should be quick and light (schwa-like), not stressed as ""REE-veal"".",The blood test resultsreveala slight increase in cholesterol levels.
SPREAD,"⚠️ This word has a three-consonant cluster at the start (s-p-r) which can be difficult — don't insert a vowel sound between them (avoid ""suh-PRED""). The vowel is a short ""e"" as in ""bed"", NOT a long ""ee"" sound.","Without treatment, the infection couldspreadto other parts of the body."
PINKY TOE / LITTLE TOE,"⚠️ ""Pinky"" is the informal/common term; ""little toe"" is the more clinical/formal term — both acceptable in OET speaking, but ""little toe"" sounds slightly more professional in a clinical note.",She injured herlittle toeafter stubbing it against the bed frame.
INSECT BITE,"⚠️ Stress on the FIRST syllable of ""insect"" (""IN""), not the second. ""Bite"" rhymes with ""light"", ""white"" — long ""i"" sound.",The redness and swelling are consistent with aninsect biterather than an infection.
DIARRHEA / DIARRHOEA,"⚠️ Stress on the THIRD syllable (""REE""). Note the spelling: American English ""diarrhoea"", British English ""diarrhoea"" — pronunciation is identical.",Persistentdiarrheais a common side effect of this medication.
LUMPECTOMY,⚠️ Stress on the SECOND syllable. A surgical procedure to remove a lump (often breast tissue) while preserving the surrounding tissue.,She underwent alumpectomyfollowed by a course of radiotherapy.
INTEGRITY,"⚠️ Stress on the SECOND syllable. In clinical notes, often used to mean the soundness or condition of a structure (e.g., ""skin integrity"", ""the integrity of dental work"").",The dentist checked theintegrityof the previous filling before proceeding.
ASSIMILATE,"⚠️ Stress on the SECOND syllable. Means ""to take in and fully understand or absorb information.""",It took her a moment toassimilatethe news about her diagnosis.
GROGGY,"⚠️ Stress on the FIRST syllable. Informal word meaning ""dazed, weak, unsteady"" — often used after anaesthesia or lack of sleep.",She feltgroggyfor a few hours after the general anaesthetic wore off.
DOUBTLESS,"⚠️ The ""b"" in ""doubt"" is silent. Stress on the FIRST syllable, which rhymes with ""shout"".",The new system willdoubtlesssave time once staff become familiar with it.
PORTER,"⚠️ Stress on the FIRST syllable. In a hospital context, refers to staff who transport patients or equipment between wards.",Aporterarrived to take the patient down to radiology.
WEARY,"⚠️ Stress on the FIRST syllable. Means ""extremely tired"", often used to describe how patients feel after surgery or illness.",You're bound to feelwearyfor the first few days after the operation.
MIND-BOGGLING,"⚠️ Primary stress on ""MYND"", secondary stress on ""BOG"". Informal expression meaning ""extremely surprising or hard to understand/believe"".",It'smind-bogglinghow many interruptions the pharmacy team handles in a single shift.
DIARRHEA,"⚠️ Stress on the THIRD syllable (""REE""). The spelling is tricky (double ""r"", ""h"" silent-ish) but doesn't affect pronunciation much — just remember ""dy-uh-REE-uh"".",He reported milddiarrheasince starting the new antibiotic.
MEFLOQUINE (brand name: LARIAM),"⚠️ Mefloquine: stress on the FIRST syllable. Ends in ""kwin"" (like ""win""), not ""kween"". Lariam (the brand name) also stresses the first syllable.",He was prescribedmefloquinefor malaria prevention before his trip.
PSYCHOTIC (SYMPTOMS),"⚠️ Stress on the SECOND syllable. The ""p"" at the start is SILENT — it sounds like ""sy-KOT-ik"", not ""psy-KOT-ik"".",The medication was discontinued after the patient developedpsychoticsymptoms.
LUMPECTOMY,"⚠️ Stress on the SECOND syllable (""PEK""). Built from ""lump"" + ""-ectomy"" (surgical removal) — same ending pattern as ""appendectomy"".",She underwent alumpectomyfollowed by a course of radiotherapy.
INTEGRITY,"⚠️ Stress on the SECOND syllable (""TEG""). In clinical contexts, it often refers to the soundness/wholeness of tissue, skin, or dental work — not just moral integrity.",The dentist checked theintegrityof the previous filling before proceeding.
"""We got really frightened""","Meaning: expressing fear/alarm about a situation. Main stress falls on ""frightened"" — the emotional content word.","""When his temperature spiked overnight, we got really frightened and called the on-call doctor.""""His breathing sounded different in the night —we got really frightenedand brought him straight to A&E."""
"Confused, disconnected, lightheaded",Meaning: a cluster of words describing altered mental state or dizziness — common symptom descriptions in patient histories.,"""She described feeling lightheaded and disconnected, as though she couldn't quite focus on the conversation.""""He seemedconfused and disconnected, taking longer than usual to answer simple questions."""
"""...quite the opposite""","Meaning: used to contrast an expectation with reality — ""not improving, but actually getting worse"" (or vice versa). Strong stress on ""opposite"" signals the contrast.","""We expected the swelling to go down, but it didn't improve — quite the opposite, in fact.""""He reported that the painhad not got any better — in fact quite the opposite— it had doubled in intensity overnight."""
"""A long-haul flight""","Meaning: a long-distance international flight (typically over 6 hours) — relevant context for DVT risk, jet lag, or travel medicine history.","""After a long-haul flight to Europe, his ankle became noticeably swollen.""""She reported a dull aching pain in her calf that had developed aftera long-haul flight."""
"""Brutal""","Meaning: informal intensifier meaning ""extremely harsh/severe"" — often used colloquially to describe an unpleasant experience (e.g., a tough recovery or harsh side effects).","""The first few days after the surgery were brutal — far worse than I expected.""""The fatigue from her condition wasbrutal— she described it as completely draining her will to function."""
"""I'd get over it""","Meaning: ""I would eventually recover/feel better"" — informal way of expressing confidence in natural recovery.","""I just assumed it was a normal cold and I'd get over it in a few days.""""He kept telling himself he'd get over it, but the symptoms only worsened over the following week."""
"""I did get a few bites when we were there""","Meaning: referring to insect bites sustained during travel — relevant in travel medicine histories (malaria, dengue exposure).","""We were careful with the repellent, but I did get a few bites when we were there, mostly on my legs.""""Despite using repellent regularly,I did get a few bitesduring the evenings when we were outdoors."""
"""Being overrun with queries/interruptions""","Meaning: overwhelmed by a high volume of questions or disruptions — useful for describing a busy clinical workload (e.g., pharmacy counter, ward duties).","""The pharmacy was being overrun with queries that afternoon, which delayed the medication review.""""The reception desk wasoverrun with interruptionsall morning, so the consultation ran well over time."""
"""A bit groggy""","Meaning: feeling dazed, sluggish, or not fully alert — commonly used after anaesthesia, sedation, or waking up.","""He was a bit groggy when he woke up from the anaesthetic, but otherwise stable.""""She felta bit groggyfor the rest of the afternoon after the sedation wore off."""
"""A porter""","Meaning: a hospital staff member who transports patients/equipment between wards — common role in UK hospital settings, distinct from a nurse or orderly.","""A porter will come to take you down to radiology in about ten minutes.""""A portertransferred the patient to the ward once the bed was ready."""
"""Tingling in the fingers""","Meaning: pins-and-needles sensation — common symptom description for nerve compression, circulation issues, or paraesthesia.","""She reported tingling in the fingers of her right hand, especially at night.""""He describedtingling in his fingersthat worsened whenever he typed for long periods."""
"""Rehab"" / ""Rehabilitation""","⚠️ ""Rehab"" stresses the FIRST syllable. ""Rehabilitation"" has its main stress on the 5th syllable (""TAY"") — six syllables total, so keep the middle ones light and quick.","""He'll need several weeks of rehab before returning to full physical activity.""""She was referred forrehabilitationfollowing her hip replacement surgery."""
"""The limited window available to prepare""","Meaning: a short, fixed amount of time available before something must happen — ""window"" here means ""time opportunity"", not a physical window.","""Given the limited window available to prepare, the team focused only on essential pre-op checks.""""Withthe limited window available to prepare, the consent discussion had to be brief but thorough."""
"""Paid for it""","Meaning: idiom meaning ""suffered the consequences"" (not literally about money) — e.g., overexerting and then suffering pain afterward.","""He went back to the gym too soon after surgery, and he paid for it the next day.""""She pushed through her shift despite the pain and reallypaid for itthat evening."""
"""Trying to assimilate the fact with...""","Meaning: ""to assimilate"" = to absorb/incorporate new information into existing understanding. Stress on the SECOND syllable.","""It took her a while to assimilate the fact that the diagnosis had changed.""""He was stilltrying to assimilate the factthat the surgery would need to be postponed."""
"""We would quickly associate the answer with personality""","Meaning: ""to associate"" = to mentally connect one thing with another. Stress on the SECOND syllable. Note this differs from ""assimilate"" — easy to confuse the two.","""People often associate a slow response with shyness, though it isn't always accurate.""""Clinicians should be careful not toassociate a quiet demeanourwith disengagement."""
"""Immediately assign the person as shy or reserved""","Meaning: ""to assign"" here means ""to label/categorise"" someone. Stress on the SECOND syllable. Note the three similar verbs: assimilate / associate / assign — each has a distinct meaning and stress pattern.","""It's unfair to immediately assign a quiet patient as being uncooperative.""""Staff were reminded not toimmediately assignreluctance to a single difficult interaction."""
"""You're bound to feel weary after an operation""","Meaning: ""bound to"" = certain/very likely to; ""weary"" = tired/exhausted (slightly more formal/literary than ""tired"").","""You're bound to feel weary after an operation like that — it's completely normal.""""'You're bound to feel wearyfor the first few days,' the nurse reassured him after the procedure."""
"""Doubtless"" / ""Mind-boggling""","Meaning: ""doubtless"" = certainly, without doubt (formal adverb). ""Mind-boggling"" = extremely surprising or hard to comprehend (informal). Both stress the first syllable.","""Doubtless, the new treatment will help — though the range of possible side effects is honestly mind-boggling.""""The sheer number of drug interactions to check wasmind-bogglingfor the new graduate pharmacist."""
POPE,"⚠️ The vowel is a long ""oh"" diphthong (like ""hope"", ""rope"") — not a short ""o"". Don't round or shorten it.",ThePopemade a statement about end-of-life care from the Vatican.
PROSTHETIC,"⚠️ Stress on the SECOND syllable. The ""th"" is a dental fricative (tongue between teeth, like ""think""). Don't say ""pros-TET-ik"" — the ""th"" sound must be clear.",The patient's discomfort may be due to a poorly fittingprostheticlimb.
AMPUTATION,"⚠️ Stress on the THIRD syllable (""TAY""). Note: the second syllable contains ""yoo"" (like ""pure""), not ""poo"".",Many patients report phantom limb pain even years afteramputation.
ELECTRODE,"⚠️ Stress on the SECOND syllable (""LEK""). The first syllable reduces to a schwa — say ""ih-LEK-trohd"", not ""EE-lek-trohd"".",We attachedelectrodesto the remaining muscles of the stump to measure activity.
CONSECUTIVE,"⚠️ Stress on the SECOND syllable (""SEK""). First syllable is a schwa — quick and light. Don't stress the first ""con-"" as in ""CON-secutive"".",The patient attended threeconsecutivephysiotherapy sessions without any improvement.
CERTAINLY,"⚠️ Stress on the FIRST syllable. In fast natural speech, the middle syllable reduces significantly — sounds almost like ""SUR-tn-lee"". Don't over-pronounce the middle ""tain"" — it becomes ""tun"" quickly.","""Certainly, I can arrange a follow-up appointment for you next week."""
VASODILATION,"⚠️ Main stress on the 5th syllable (""LAY"") with secondary stress on the 1st (""VAY""). The ""vaso-"" prefix rhymes with ""lazy"", not ""vah-so"". Cambridge confirmed this stress pattern.","Vasodilationcauses blood vessels to widen, lowering blood pressure."
ARTERIOLES,"⚠️ Stress on the SECOND syllable (""TEER""). Cambridge confirmed: /ɑːˈtɪəriəʊl/. Common error is putting stress on the first syllable (AR-tee-oles).",Thearteriolesdilate in response to increased body temperature during exercise.
BLOCKAGE,"⚠️ Stress on the FIRST syllable. The ending ""-age"" is reduced — sounds like ""-ij"", not ""-ayj"". Don't say ""blok-AYJ"".",The scan revealed a partialblockagein the left coronary artery.
WORK / WALK,"⚠️ These two words are frequently confused. ""Work"" has a ""ur"" sound (like ""bird"", ""nurse""). ""Walk"" has a long ""aw"" sound (like ""talk"", ""law"") — the ""l"" is SILENT. Don't say ""wal-k"" with a clear ""l"".",The medication shouldworkwithin 30 minutes of taking it.
MASSIVE,"⚠️ Stress on the FIRST syllable. The vowel in ""MAS-"" is a short ""æ"" (as in ""cat"", ""bad"") — not a long ""ah"" sound. The ending ""-ive"" reduces to ""-iv"".",He suffered amassivestroke and was rushed to intensive care.
PERFECT,"⚠️ British English (RP) uses ""PUR-fikt"" (second syllable rhymes with ""licked"") — this is the target for your OET preparation and future plans in Germany. NZ/Australian English uses ""PUR-fekt"" (second syllable rhymes with ""wrecked""), which is why Google Translate may show a different version. As a VERB (""to perfect something""), stress shifts to the SECOND syllable: pur-FEKT.",Your blood pressure reading isperfecttoday — keep up the good work.
MUCUS / MUCOSA / MUCOUS,"⚠️ KEY DISTINCTION: ""Mucus"" (noun) = the secretion itself. ""Mucous"" (adjective) = relating to mucus — same pronunciation. ""Mucosa"" = the mucous membrane itself — stress shifts to 2nd syllable (""KOH""). Note: ""mucous"" (adj) and ""mucus"" (noun) are spelled differently but pronounced the same.","The patient had excessmucusin the airways, making it difficult to breathe."
STUFFY,"⚠️ Stress on FIRST syllable. Short ""u"" vowel (like ""cup"", ""stuff""). Common informal clinical expression — ""stuffy nose"" = nasal congestion. The clinical equivalent is ""nasal congestion"" or ""blocked nose"".",She reported astuffynose and a mild sore throat for the past three days.
REFER / REFERRAL,"⚠️ Both words stress the SECOND syllable. The vowel in ""-FUR-"" is the same as ""her"", ""nurse"". Common error: ""REF-er"" (wrong stress) or ""ref-ER-al"" (wrong vowel).",I'd like toreferyou to a dermatologist for further assessment.
"""Rung up"" (rang up / called)","Meaning: informal British expression — ""to ring up"" = to telephone someone. Past tense: ""rang up""; past participle: ""rung up"". ""She rung up the clinic"" = ""She called the clinic."" Stress on the particle ""up"" in natural speech.",Herung upthe pharmacy to check if his prescription was ready.
SUBTRACT,"⚠️ Stress on the SECOND syllable (""TRAKT""). First syllable reduces to schwa — ""suh-TRAKT"". In clinical contexts, ""subtract"" may appear in scoring tools (e.g., serial 7s cognitive test) or dosage calculations.","In the serial 7s test, the patient is asked tosubtract7 from 100 repeatedly."
"""This might be due to a poorly fitting prosthetic""","Key stressed words: ""poorly"", ""fitting"", ""prosthetic"" — these carry the information. ""This"", ""might"", ""be"", ""due"", ""to"", ""a"" are all light and fast.","""The increased pain this month might be due to a poorly fitting prosthetic rather than the underlying condition.""""The clinician suspectedthis might be due to a poorly fitting prostheticrather than nerve damage."""
